Organisation Name,Annual Revenue,Assigned To,Created Time,Start Financial Year,Commitment Number of Jobs,Registration Status,BBBEE ALign,Demand Shaping Package,Demand Shaping Start Date,Uncontactable Company,CRM Status,M & E Payment Made,Youth Uploaded,Phones Delivered,Extra Youth
Investec Bank Limited,16673439530,Christopher Parkin,04-02-2019 10:40:25,April,1243,Registered,yes,NA,01-04-2018,no,NA,yes,NA,Not Taking Phones,0
Travel Click,0,Itumeleng Lentsoane,04-02-2019 14:13:11,February,2,Registered,no,NA,01-03-2019,no,Archived,no,NA,NA,0
"HC, Inc",0,YES Administrator,04-02-2019 16:08:16,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
RisCura Holdings South Africa (PTY) LTD,130137405,YES Administrator,05-02-2019 09:42:54,July,8,Registered,yes,In-House 5000,02-05-2019,no,On - Track August 2019,yes,NA,Yes,0
Olucon Group ( Pty) Ltd,0,YES Administrator,05-02-2019 13:05:29,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Digiata Technology Services (Pty) Ltd,115000000,YES Administrator,05-02-2019 13:18:34,March,8,Registered,yes,Host Placement 9000,01-03-2019,no,NA,yes,NA,Yes,0
Mavuba Media and Communications,0,YES Administrator,05-02-2019 14:25:22,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
VFV Attorneys,43202525,YES Administrator,05-02-2019 14:27:54,March,4,Registered,yes,Small Biz 1700,01-02-2019,no,NA,yes,NA,Yes,0
AYO Technology Solutions Limited,0,YES Administrator,05-02-2019 15:13:31,September,0,Calculating for BBBEE,yes,NA,NA,no,On Track - July 2019,no,NA,NA,0
Oranje Rivier Tenkers,143000000,YES Administrator,05-02-2019 15:25:38,February,16,Registered,yes,In-House 5000,01-05-2019,no,NA,yes,NA,Yes,0
The Creative Counsel,0,YES Administrator,06-02-2019 06:50:11,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
The Aurum Institute,1110571310,Itumeleng Lentsoane,06-02-2019 09:15:34,December,36,Registered,yes,In-House 5000,21-12-2018,no,NA,yes,NA,Yes,2
EconoServices (Pty) Ltd,9319588.7899999991,YES Administrator,06-02-2019 10:31:58,March,2,Registered,yes,Small Biz 1700,11-02-2019,no,On Track,yes,NA,Yes,0
Avocado Vision,11881452,YES Administrator,06-02-2019 11:53:52,January,1,Registered,yes,Small Biz 1700,01-04-2019,no,On Track - July 2019,yes,NA,NA,0
Innovative Shared Services (PTY) Ltd,16200000,YES Administrator,06-02-2019 13:55:53,February,2,Registered,yes,Small Biz 1700,01-03-2019,no,On Track,yes,NA,Yes,0
Rand Refinery (Pty) Ltd,678000000,YES Administrator,06-02-2019 20:36:34,September,28,Registered,yes,In-House 5000,08-07-2019,no,On - Track August 2019,yes,NA,NA,0
COLONY CAMPAIGNS (PTY) LTD,0,YES Administrator,07-02-2019 09:58:42,March,0,Calculating for BBBEE,yes,NA,NA,no,Archived,no,NA,NA,0
